departamento,municipio,genero,menciones,preferencia,confianza,fuentes
"Bogota, D. C.","Bogota, D.C.","Musica popular","2","4","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Tenjo","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Sasaima","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","El Rosal","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Sesquile","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Putumayo","Villagarzon","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Paz De Rio","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","La Mesa","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Cuaspud Carlosama","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cordoba","Valencia","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Caicedonia","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Frontino","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Santo Domingo","Pacifico","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","San Pablo De Borbur","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Venecia","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Zipaquira","Llanera","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Choco","Bajo Baudo","Pacifico","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Caicedo","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Salgar","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","San Jeronimo","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Atlantico","Galapa","Electronica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Chinavita","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Facatativa","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Guatavita","Rock","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","Santa Rosa Del Sur","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caqueta","Cartagena Del Chaira","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Mutata","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Chivor","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Choachi","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Caramanta","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Atlantico","Baranoa","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Ramiriqui","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Choconta","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Sopetran","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caqueta","Puerto Rico","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Sutatausa","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Anzoategui","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Victoria","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"La Guajira","Villanueva","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Angelopolis","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Cucaita","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","La Belleza","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Simacota","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Bojaca","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Huila","Pitalito","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Quindio","Circasia","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Coyaima","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Sativanorte","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Santacruz","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Malaga","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Sucre","Morroa","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Atlantico","Repelon","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Sucre","Coloso","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Pupiales","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","El Cocuy","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Putumayo","Valle Del Guamuez","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","Santa Catalina","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Abrego","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Carepa","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Turbo","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","El Bagre","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Puerto Triunfo","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"La Guajira","San Juan Del Cesar","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Archipielago De San Andres, Providencia Y Santa Catalina","San Andres","Rock","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Arauca","Arauca","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cordoba","Tierralta","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","Magangue","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Atlantico","Sabanalarga","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","Yopal","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Villa Del Rosario","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Cepita","Musica popular","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Los Santos","Musica popular","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Macanal","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","La Playa","Musica popular","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Fusagasuga","Llanera","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Miraflores","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Santa Rosa De Osos","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Samana","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Magdalena","Algarrobo","Llanera","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Risaralda","Dosquebradas","Llanera","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Candelaria","Llanera","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","San Carlos","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Valle De San Jose","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caqueta","La Montanita","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","Jambalo","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Tulua","Musica popular","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","Santander De Quilichao","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Puerto Lopez","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Quindio","Quimbaya","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","El Guacamayo","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cordoba","Planeta Rica","Pacifico","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Sativasur","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Mongua","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","Lopez De Micay","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Palestina","Musica popular","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Firavitoba","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Donmatias","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","Sabanalarga","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Anza","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Mapiripan","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Umbita","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","El Tambo","Llanera","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Cumbal","Musica popular","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Amazonas","Tarapaca (Anm)","Hip hop","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cordoba","Tuchin","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Barichara","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Salamina","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Aguadas","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Quindio","Pijao","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Atlantico","Ponedera","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Tota","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Huila","Paicol","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Natagaima","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Raquira","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Pacora","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cesar","Becerril","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Barbosa","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Sabana De Torres","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Alcala","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Zipacon","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","San Carlos De Guaroa","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Betulia","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Pamplonita","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
