nombre,departamento,municipio,tipo,anio,fecha,calidad,fuente,dataset_id,fecha_extraccion
"Sol De Oriente","Antioquia","Medellin","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Magangue","Bolivar","Magangue","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Nohora","Meta","Villavicencio","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Porfia","Meta","Villavicencio","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Itpc","Narino","San Andres De Tumaco","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Perla Del Pazcifico","Narino","San Andres De Tumaco","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Angeles Musicales","Putumayo","Mocoa","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Clave De Paz","Putumayo","Mocoa","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"David Sanchez Juliao","Cordoba","Monteria","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Ie Villa Cielo","Cordoba","Monteria","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Gloria","Cordoba","Monteria","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"El Jardin (Ibague)","Tolima","Ibague","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Sede Norte","Cauca","Popayan","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
